SC_Profit,Columbia_Profit
 $(892.66), $837.03 
 $405.47 , $973.71 
" $1,674.08 ", $257.87 
 $514.82 , $957.99 
" $1,240.39 ", $(18.84)
" $1,542.13 ", $847.87 
" $1,374.92 "," $1,456.38 "
 $350.45 , $(109.81)
" $1,055.55 ", $242.17 
" $1,977.64 ", $961.49 
 $711.58 , $(349.16)
 $581.69 ," $1,321.67 "
 $221.67 ," $1,075.19 "
" $1,741.95 ", $616.74 
" $1,593.61 "," $1,056.95 "
 $874.58 , $650.06 
" $(1,021.56)", $(468.65)
" $(1,352.27)", $754.63 
" $1,574.50 ", $(175.89)
 $600.38 , $733.34 
 $286.52 , $835.30 
 $(584.12), $(301.65)
 $529.27 ," $1,444.73 "
" $1,441.60 ", $(249.67)
 $522.81 , $957.73 
" $1,234.94 ", $363.50 
 $974.11 , $(298.17)
" $2,105.02 ", $(302.03)
 $(340.12), $(282.24)
" $1,296.69 ", $(39.55)
" $1,523.42 ", $964.93 
" $1,422.69 ", $(193.24)
 $59.13 , $220.77 
" $1,458.24 "," $1,034.57 "
" $(1,104.99)"," $1,185.72 "
" $1,014.80 ", $(518.77)
 $455.78 , $924.88 
" $2,496.50 "," $1,027.15 "
" $2,451.56 ", $(126.64)
 $801.94 , $(88.81)
 $648.81 ," $1,033.53 "
 $(837.01), $(5.06)
 $347.21 , $(437.23)
 $883.69 , $49.56 
 $411.32 , $(242.37)
" $2,590.35 "," $1,042.46 "
 $534.02 , $377.72 
 $609.39 ," $1,189.61 "
 $(325.57), $735.30 
" $1,554.45 "," $1,003.76 "
 $267.13 ," $1,265.04 "
 $702.71 , $(375.52)
 $(606.13)," $1,105.59 "
 $641.08 ," $1,095.50 "
 $(736.09), $433.08 
 $868.00 ," $1,366.90 "
" $1,334.88 ", $(150.03)
 $646.90 ," $1,031.65 "
 $612.09 ," $1,298.98 "
 $711.95 , $(252.32)
 $(161.17)," $1,398.46 "
" $1,169.68 ", $(269.08)
" $1,835.97 ", $(169.76)
" $1,175.13 "," $1,345.91 "
" $1,193.86 "," $1,273.18 "
 $(521.20)," $1,500.66 "
 $274.26 , $(68.08)
" $2,311.66 "," $1,024.87 "
" $1,051.28 ", $432.25 
 $189.58 ," $1,119.53 "
" $1,441.50 ", $984.12 
 $405.67 , $882.31 
" $(1,286.34)"," $1,261.32 "
" $(1,122.15)", $(83.09)
" $2,094.95 "," $1,202.98 "
" $1,264.42 "," $1,054.48 "
" $1,547.80 "," $1,095.05 "
" $1,229.74 "," $1,173.02 "
" $1,254.26 ", $833.03 
" $1,052.90 ", $327.31 
 $625.84 , $907.23 
 $(894.16), $120.18 
" $1,371.75 ", $(167.65)
 $486.43 ," $1,065.20 "
 $330.83 , $582.87 
" $2,155.28 ", $54.62 
 $204.17 , $376.64 
 $941.16 , $(95.54)
" $2,816.72 "," $1,115.36 "
" $1,004.13 "," $1,223.95 "
" $1,244.80 ", $71.59 
" $1,444.86 ", $(298.17)
" $1,727.93 ", $(601.04)
 $760.82 , $260.22 
 $240.03 , $107.48 
 $(873.78), $(331.83)
" $2,400.13 "," $1,524.34 "
 $349.56 ," $1,656.50 "
" $1,808.26 ", $756.72 
" $1,083.83 ", $118.28 
" $4,140.47 "," $1,054.53 "
 $828.05 , $969.82 
 $647.45 , $83.56 
" $2,477.97 ", $(98.08)
 $618.62 , $13.72 
 $(167.43), $967.15 
 $256.18 , $(22.80)
" $1,447.95 ", $(135.46)
" $1,815.84 ", $84.48 
 $47.01 , $590.73 
" $1,624.23 "," $1,707.43 "
" $1,734.42 "," $1,278.24 "
 $398.03 , $753.70 
" $1,521.11 ", $210.53 
" $1,351.18 ", $993.90 
" $1,372.33 "," $1,066.85 "
 $583.03 ," $1,135.95 "
 $704.98 , $55.69 
" $1,831.03 "," $1,182.52 "
" $1,608.75 ", $(63.66)
" $1,268.08 ", $942.90 
 $602.38 ," $1,410.69 "
 $940.35 ," $1,267.61 "
 $152.70 ," $1,296.57 "
 $(644.58)," $1,331.60 "
" $2,394.23 ", $73.49 
 $59.25 , $(113.31)
 $587.34 , $53.25 
 $404.54 ," $1,180.08 "
 $236.61 ," $1,168.90 "
 $(573.01)," $1,090.59 "
 $348.93 , $(418.29)
" $1,524.14 ", $280.51 
" $1,980.73 "," $1,064.65 "
" $1,471.04 ", $(516.42)
 $(120.22), $831.00 
 $347.75 , $(313.15)
 $437.91 , $106.66 
" $1,858.06 ", $445.80 
" $2,107.94 ", $734.31 
 $19.94 ," $1,071.74 "
" $1,824.75 "," $1,133.94 "
" $2,142.80 ", $(30.57)
 $369.09 , $(14.81)
 $(346.48), $(138.54)
 $511.95 , $(114.82)
" $1,052.27 ", $30.18 
 $887.90 ," $1,145.77 "
" $1,531.11 ", $524.29 
 $550.99 , $68.26 
 $386.27 , $932.82 
" $1,075.35 ", $814.49 
" $1,888.23 ", $(517.55)
 $933.16 ," $1,282.33 "
" $1,528.28 ", $945.28 
" $1,680.23 ", $94.93 
 $216.73 , $879.42 
" $2,167.24 ", $(32.90)
 $767.23 , $152.57 
 $(783.26), $969.85 
" $1,855.26 ", $87.45 
" $(1,367.57)", $40.84 
" $2,257.00 "," $1,142.63 "
 $939.52 , $465.13 
 $839.44 ," $1,031.90 "
 $181.12 , $810.87 
 $661.79 , $984.20 
 $333.79 ," $1,067.67 "
 $118.83 ," $1,370.15 "
" $1,643.09 ", $(56.45)
" $1,051.92 ", $935.70 
" $1,538.67 ", $87.70 
 $810.52 ," $1,233.00 "
" $1,174.50 ", $5.45 
" $1,273.49 "," $1,085.50 "
 $(674.51), $108.26 
 $79.15 , $(24.60)
" $(1,086.37)", $400.37 
" $1,094.88 "," $1,548.44 "
 $(401.85)," $1,284.78 "
 $411.52 ," $1,321.33 "
 $105.53 , $141.37 
 $566.56 , $(288.64)
 $779.28 ," $1,293.68 "
 $952.76 ," $1,219.79 "
" $1,281.31 ", $961.63 
" $1,099.43 ", $634.35 
 $714.60 ," $1,655.30 "
" $1,078.40 "," $1,073.82 "
" $1,954.53 ", $182.81 
" $1,684.15 ", $335.71 
 $691.14 ," $1,398.21 "
 $183.11 , $(81.24)
 $713.14 , $(525.79)
 $(54.10)," $1,248.03 "
" $1,715.08 ", $840.70 
" $1,345.45 ", $209.00 
 $(117.98)," $1,057.34 "
 $976.55 , $948.06 
 $962.58 ," $1,194.04 "
 $649.28 , $187.66 
" $1,148.13 ", $(19.99)
" $1,753.73 ", $(3.92)
 $557.30 , $(525.80)
" $1,167.54 ", $240.36 
 $670.00 , $791.92 
" $1,344.23 ", $(296.52)
 $(485.35), $6.67 
 $(565.20)," $1,495.13 "
" $1,608.71 ", $931.15 
 $409.82 , $(31.49)
 $678.57 , $(402.92)
 $119.90 , $95.68 
 $458.52 ," $1,532.82 "
" $1,605.72 ", $165.18 
 $433.01 ," $1,305.14 "
" $1,503.72 ", $(66.87)
" $1,394.19 ", $(347.25)
" $1,318.77 ", $694.98 
" $(1,057.35)", $834.53 
" $1,894.01 ", $(154.40)
" $1,930.87 "," $1,001.27 "
 $757.36 , $611.21 
 $(50.74)," $1,421.86 "
" $1,408.11 "," $1,105.34 "
 $947.30 , $295.66 
" $1,501.83 "," $1,199.73 "
 $142.34 , $970.64 
 $180.76 , $295.66 
" $1,085.44 "," $1,261.60 "
" $1,220.17 "," $1,242.37 "
 $756.49 , $957.09 
 $823.42 , $(466.65)
" $1,437.56 ", $(251.59)
 $(485.83), $987.33 
 $929.04 , $83.96 
" $1,489.51 ", $59.06 
" $1,973.31 ", $142.83 
" $2,230.79 "," $1,431.23 "
" $1,105.54 ", $920.43 
" $2,167.16 "," $1,071.91 "
" $1,384.81 "," $1,234.85 "
 $965.44 ," $1,038.19 "
" $(1,402.39)", $(42.17)
" $1,670.25 "," $1,576.27 "
 $177.07 , $656.34 
 $530.88 ," $1,035.39 "
 $992.94 , $910.87 
" $2,039.77 ", $(198.43)
" $(1,816.73)", $216.64 
 $841.90 , $992.95 
" $1,394.55 ", $371.47 
" $1,529.81 "," $1,093.58 "
" $1,096.50 ", $842.11 
 $421.83 , $38.85 
" $1,979.24 ", $819.68 
" $1,660.88 ", $(67.67)
" $1,841.49 "," $1,336.92 "
 $575.94 , $220.74 
 $(666.98), $73.98 
 $287.98 ," $1,361.64 "
 $985.77 , $210.45 
" $1,524.64 ", $95.11 
 $(552.17), $870.30 
" $1,853.46 "," $1,134.39 "
 $398.48 , $889.33 
 $400.06 , $(86.09)
" $2,235.12 "," $1,148.45 "
 $827.27 , $665.99 
" $1,838.62 ", $678.19 
 $(316.16), $954.37 
" $1,213.48 ", $986.38 
 $943.08 , $(465.13)
" $1,105.26 "," $1,372.73 "
" $1,150.99 "," $1,121.46 "
 $(111.70), $981.77 
" $1,128.51 ", $91.13 
" $2,158.03 "," $1,044.72 "
 $(286.04), $313.74 
 $753.13 ," $1,183.44 "
" $1,664.80 "," $1,362.83 "
" $2,321.49 ", $(205.68)
" $1,612.96 ", $(516.59)
 $127.51 , $(685.55)
 $939.63 ," $1,462.81 "
 $542.80 , $888.45 
 $624.03 ," $1,287.26 "
" $2,238.66 "," $1,153.29 "
 $289.35 , $386.91 
 $426.00 , $635.96 
 $803.87 , $(279.66)
 $631.39 ," $1,459.98 "
" $2,783.61 "," $1,029.05 "
 $753.92 ," $1,044.21 "
 $422.76 ," $1,354.07 "
 $214.28 , $744.68 
 $295.62 , $(26.03)
" $2,213.03 "," $1,346.06 "
" $1,566.45 ", $166.13 
" $1,451.87 ", $513.69 
" $1,146.41 ", $563.59 
" $(1,455.88)", $984.19 
" $1,372.20 "," $1,005.04 "
 $975.75 , $960.67 
 $618.42 ," $1,306.19 "
 $483.02 ," $1,023.31 "
" $(1,307.93)", $(79.56)
 $833.09 , $624.25 
 $639.81 , $(393.24)
" $1,571.71 "," $1,028.19 "
" $1,851.10 ", $364.73 
" $1,741.15 "," $1,235.22 "
" $1,697.02 "," $1,145.84 "
 $561.09 , $137.50 
" $1,465.32 ", $(322.15)
 $782.59 , $(424.50)
" $1,571.21 ", $859.81 
 $(380.41)," $1,104.99 "
 $370.96 , $312.99 
 $(942.75)," $1,267.78 "
" $1,406.18 ", $20.32 
" $1,866.00 ", $(189.28)
 $(488.11), $(117.18)
" $1,092.32 ", $215.73 
" $1,882.67 ", $(179.85)
" $1,933.32 ", $(280.33)
 $257.53 ," $1,357.12 "
 $632.75 , $(288.54)
 $782.45 , $184.69 
" $2,100.21 "," $1,449.09 "
 $(992.69)," $1,149.09 "
" $(2,047.87)", $970.98 
 $(706.87)," $1,106.54 "
" $1,029.03 ", $2.71 
 $(817.36), $(17.74)
" $2,374.23 "," $1,489.38 "
 $702.27 , $648.36 
" $1,050.30 ", $83.45 
 $(316.40)," $1,533.97 "
 $250.81 , $33.93 
" $1,780.27 ", $975.92 
" $(1,283.22)"," $1,137.09 "
 $(315.35), $415.52 
 $154.40 ," $1,179.56 "
" $1,426.47 ", $(312.47)
 $559.98 , $873.28 
" $1,596.88 ", $(257.26)
 $634.28 , $123.19 
" $1,186.79 "," $1,380.34 "
" $1,431.64 ", $(199.79)
" $1,915.22 ", $688.67 
 $(519.41), $249.10 
 $126.88 ," $1,477.40 "
" $1,730.98 ", $208.01 
 $303.78 , $807.99 
 $441.32 , $610.75 
 $209.66 ," $1,024.38 "
 $(234.04), $926.10 
" $1,827.22 "," $1,314.95 "
 $50.69 ," $1,364.91 "
 $655.61 , $(229.00)
 $525.47 , $(18.55)
 $(847.46), $(46.68)
" $1,580.70 ", $870.85 
 $141.62 , $(239.92)
" $1,275.95 ", $(286.45)
 $479.34 , $119.53 
" $1,273.89 "," $1,304.39 "
 $758.47 , $(254.37)
" $1,112.81 "," $1,253.89 "
" $1,169.48 "," $1,171.79 "
" $1,224.53 "," $1,108.73 "
" $1,425.91 ", $(391.27)
" $1,821.54 ", $550.70 
 $537.62 , $(14.07)
 $(163.07), $679.95 
 $183.72 , $390.50 
 $(36.68), $(89.41)
" $1,160.32 ", $(87.32)
" $1,578.71 ", $955.41 
 $812.80 ," $1,040.69 "
 $385.18 , $(340.02)
 $982.07 ," $1,185.06 "
 $898.35 ," $1,082.83 "
" $1,494.05 "," $1,052.10 "
" $1,670.36 "," $1,096.50 "
 $713.78 , $953.22 
" $1,636.44 ", $31.98 
 $245.15 ," $1,113.31 "
" $1,424.17 ", $47.78 
 $727.11 , $(508.52)
" $1,263.19 ", $477.60 
 $(53.33)," $1,274.69 "
" $(1,673.88)", $(141.12)
" $(1,281.82)"," $1,374.85 "
 $677.41 , $910.13 
" $1,930.21 ", $225.38 
" $1,407.41 ", $(109.74)
" $1,578.12 ", $(87.25)
 $961.16 , $(491.82)
" $1,157.76 ", $951.98 
" $1,462.79 ", $906.58 
 $218.14 ," $1,140.32 "
 $(485.33), $134.41 
 $156.56 ," $1,227.76 "
 $931.00 , $(347.05)
 $(361.71), $(131.68)
 $403.31 , $(470.96)
 $769.61 , $(283.96)
" $2,107.19 ", $(163.06)
" $2,180.52 ", $307.69 
" $2,481.91 "," $1,010.75 "
" $(1,151.99)", $898.45 
 $992.15 , $(145.63)
" $1,719.56 ", $(161.33)
 $969.13 , $615.36 
 $796.19 , $903.43 
 $261.39 ," $1,275.43 "
 $442.97 ," $1,002.21 "
" $1,647.84 ", $415.47 
 $(808.12)," $1,200.17 "
 $807.79 ," $1,302.95 "
 $719.46 ," $1,645.16 "
 $(689.76)," $1,026.78 "
" $2,172.62 ", $700.24 
 $899.25 ," $1,728.65 "
" $1,970.36 ", $950.00 
 $397.44 ," $1,014.97 "
" $1,092.94 ", $55.74 
 $(713.18), $669.68 
" $2,276.40 ", $909.21 
" $1,647.84 ", $998.49 
 $55.15 , $(61.53)
 $(954.79), $808.65 
" $1,433.84 ", $(39.42)
" $2,230.26 ", $295.62 
" $1,496.30 ", $575.62 
" $1,372.19 ", $942.08 
 $212.65 , $105.48 
 $327.87 ," $1,220.36 "
" $1,484.79 "," $1,118.92 "
 $(276.30), $728.22 
" $1,096.34 "," $1,096.02 "
 $490.02 , $68.26 
" $1,895.62 ", $951.80 
" $1,970.34 ", $(162.60)
 $676.41 , $(562.93)
" $1,276.38 ", $878.15 
 $439.59 , $(259.83)
 $434.27 , $(258.51)
 $914.08 , $154.32 
 $856.52 , $(176.41)
" $1,337.50 "," $1,973.47 "
 $298.92 ," $1,293.90 "
 $(727.96), $922.52 
" $1,294.36 "," $1,429.47 "
